Day,Date,Team A,Team B,TA player 1,TA player 2,TA player 3,TA player 4,TA player 5,TA player 6,TA player 7,TA player 8,TA player 9,TA player 10,TA player 11,TB player 1,TB player 2,TB player 3,TB player 4,TB player 5,TB player 6,TB player 7,TB player 8,TB player 9,TB player 10,TB player 11
8,30/08/2017,guingamp,toulouse,190120,167936,234930,239210,204338,190014,178051,192673,49488,134779,228093,231691,207746,212282,231235,198067,208615,213556,222982,197681,193983,211239
8,30/08/2017,dijon,strasbourg,204240,210434,197937,234730,225934,236639,213030,198817,205257,212613,193226,224442,204105,183766,235552,47860,197813,200966,235042,220905,197480,230857
8,01/09/2017,troyes,saint-etienne,190195,208862,231098,215388,208449,216482,233550,216237,220029,206506,195912,167628,159147,220172,231685,190868,198836,225475,225085,230144,177712,193476
8,01/09/2017,angers,lyon,199574,190579,184873,189946,184190,213388,178160,226789,219792,221740,224069,199482,189681,228618,180334,230578,216594,227234,235569,221639,202556,207948
8,01/09/2017,nice,marseille,221130,158625,235454,193470,192725,198861,216451,230020,186627,206467,216388,163705,163083,183280,208520,219681,177388,185221,205632,227236,212273,204970
8,20/10/2017,amiens,lille,176994,202672,234624,234514,157585,186567,186197,159047,214949,169281,199074,215698,198949,220337,210520,236723,225945,213874,211382,234128,226110,216433
9,13/09/2017,lyon,monaco,199482,216266,228618,230578,181560,227234,234906,216594,235569,221639,207948,192593,215792,190547,227873,203485,213565,162347,205391,225151,212692,215785
9,14/09/2017,dijon,paris-sg,204240,51620,197937,237548,234730,236639,211927,213030,198817,205257,193226,193105,207865,202371,183512,146530,225850,183898,202166,210008,190871,231747
9,14/09/2017,caen,angers,5594,222926,179789,181456,227222,240802,163804,209502,230042,188397,190659,209423,190579,184873,184190,189946,229041,178160,209781,213388,221740,224069
9,14/09/2017,saint-etienne,metz,167628,199895,220172,197688,190868,198836,199170,230144,192722,193476,212350,180739,203581,229236,225859,194196,218623,112365,183820,221250,183982,188289
9,14/09/2017,lille,troyes,215698,220337,236723,210520,236480,213874,211382,206436,234128,216433,226110,190195,215388,181559,208449,231098,175462,216482,163796,220029,206506,212428
9,14/09/2017,guingamp,rennes,190120,210394,167936,204338,231102,188696,192673,49488,134779,228093,202035,200332,177481,231361,239575,230043,219789,168293,214097,236998,218970,194845
9,14/09/2017,toulouse,amiens,231691,231633,231235,198067,208615,213556,222982,197681,193983,176794,211239,176994,234624,186567,234514,204886,186197,220245,159047,182856,169281,211321
9,15/09/2017,bordeaux,nantes,158121,188762,233219,221271,222715,217605,112253,184271,222737,224218,201073,201325,216643,207924,203884,219693,232693,192205,210450,223874,208787,190716
9,15/09/2017,montpellier,nice,200726,163665,223597,226166,202562,153260,225126,163699,192242,231041,50294,221130,158625,193470,150590,192725,225199,216451,230020,206467,186627,216388
9,15/09/2017,strasbourg,marseille,224442,204105,183766,235552,235553,197813,193147,235042,220905,230857,236786,163705,163083,183280,208520,219681,177388,210896,227236,212273,204970,183483
10,20/09/2017,saint-etienne,montpellier,167628,220172,197688,199895,190868,236817,198836,192722,177712,193476,212350,200726,200677,223597,226166,163665,153260,225126,163699,192242,183389,227667
10,21/09/2017,monaco,caen,192593,229712,190547,163407,215792,213565,209499,216393,212692,167397,215785,5594,181456,222926,179789,227222,240802,163804,230042,208017,188397,190659
10,21/09/2017,nantes,guingamp,201325,216643,207924,203884,232693,219693,192205,208787,223874,210450,190716,190120,210394,167936,204338,178051,231102,188696,49488,134779,202035,193953
10,21/09/2017,amiens,bordeaux,176994,138704,186567,202672,234624,159047,186197,214949,203128,169281,199074,158121,188762,221271,233219,222715,112253,217605,184271,223543,223510,201073
10,21/09/2017,angers,toulouse,209423,229041,184873,184190,189946,190579,178160,226789,209781,224069,221740,231691,231633,212282,231235,198067,208615,222982,213556,235173,197681,193983
10,21/09/2017,rennes,lille,200332,177481,219789,231361,230043,224196,206167,190674,231266,214097,218970,215698,220337,210520,236723,225945,236480,206436,213874,234128,226110,216433
10,21/09/2017,metz,dijon,180739,203581,215379,225859,194196,200298,112365,183820,211099,183982,188289,204240,51620,197937,234730,237548,236639,213030,211927,198817,205257,193226
10,22/09/2017,nice,strasbourg,221130,158625,215703,193470,150590,198861,225199,230020,206467,237600,216388,224442,204105,183766,235553,235552,197813,193147,220905,235042,230857,236786
10,22/09/2017,troyes,lyon,190195,231098,215388,181559,175462,208449,216482,220029,206506,233550,212428,199482,180334,189681,207707,139860,227234,234906,235569,221639,202556,207948
10,22/09/2017,marseille,paris-sg,163705,163083,183280,219681,208520,177388,185221,205632,227236,204970,183483,193105,207865,164240,201510,202371,210008,199556,49370,179813,231747,190871
11,27/09/2017,paris-sg,nice,193105,146530,164240,183512,225850,210008,183898,202166,199556,231747,179813,215223,158625,215703,235981,150590,192725,198861,224756,139869,230020,186627
11,28/09/2017,bordeaux,monaco,158121,188762,221271,215699,217605,112253,220609,184271,222737,224218,201073,192593,229712,215792,190547,163407,209499,213565,162347,216393,212692,215785
11,28/09/2017,dijon,nantes,204240,197937,234730,225934,237548,236639,213030,211927,187988,198817,210722,201325,207924,203884,219693,216643,232693,192205,208787,223874,210450,190716
11,28/09/2017,montpellier,rennes,200726,200677,226166,163665,223597,153260,225126,163699,192242,183389,227667,200332,177481,219789,231361,224196,230043,190674,212261,236998,214097,215245
11,28/09/2017,caen,troyes,5594,222926,179789,227222,240802,163804,205190,230042,208017,188397,190659,190195,181559,208449,231098,215388,175462,216482,216237,206506,220029,212428
11,28/09/2017,guingamp,amiens,190120,239210,204338,169069,188696,192673,231102,49488,134779,202035,193953,176994,202672,234514,186567,204886,186197,220245,214949,203128,199074,169281
11,28/09/2017,strasbourg,angers,224442,204105,183766,235552,235553,197813,235042,220905,193147,230857,236786,209423,190579,184873,184190,189946,212449,213388,178160,226789,219792,224069
11,29/09/2017,lyon,metz,199482,180334,216266,139860,207707,216594,227234,234906,221639,202556,207948,180739,203581,225859,215379,157392,200298,218623,112365,183820,221250,183982
11,29/09/2017,toulouse,saint-etienne,231691,231633,198067,231235,208615,213556,222982,197681,193983,211239,182945,167628,199895,197688,183395,190868,225475,199170,198836,192722,225085,236817
11,29/09/2017,lille,marseille,215698,220337,236723,210520,225945,211382,206436,213874,234128,226110,216433,163705,163083,208520,183280,52091,210896,205632,185221,227236,204970,183483
12,03/10/2017,rennes,bordeaux,200332,177481,219789,231361,224196,230043,236998,190674,214097,218970,194845,158121,229782,215699,233219,222715,220609,112253,112244,222737,223510,201073
12,04/10/2017,angers,paris-sg,209423,138704,184873,184190,212449,189946,213388,178160,219792,186161,224069,193105,146530,164240,201510,225850,210008,191180,202166,199556,179813,231747
12,04/10/2017,monaco,guingamp,192593,229712,190547,163407,227873,209499,216393,225151,212692,215785,215334,190120,239210,204338,169069,226414,231102,188696,178051,192673,228093,193953
12,04/10/2017,nantes,toulouse,201325,216643,207924,219693,199393,192205,210450,209304,208787,204819,190716,231691,212282,231633,207746,231235,213556,222982,197681,193983,196932,182945
